time,latitude,longitude,depth,mag,place
2016-11-14T18:34:20.711Z,64.328,-149.7866,17.9,1.4,"42km SW of North Nenana, Alaska"
2016-11-14T18:28:20.540Z,38.7966652,-122.7929993,-0.55,1.32,"3km NW of The Geysers, CA"
2016-11-14T18:27:50.099Z,57.6477,-154.9095,75.4,2.4,"56km WNW of Larsen Bay, Alaska"
2016-11-14T17:22:51.144Z,61.3543,-151.608,63.8,1.6,"75km NNW of Nikiski, Alaska"
2016-11-14T17:22:08.539Z,61.1342,-151.3674,135.7, ,"49km N of Nikiski, Alaska"
2016-11-14T17:18:05.600Z,38.8371658,-122.8348312,2.48,1.22,"9km W of Cobb, CA"
2016-11-14T17:01:50.370Z,-41.8145,174.3197,10,4.2,"45km SE of Blenheim, New Zealand"
2016-11-14T16:40:39.001Z,36.6994,-116.317,8.9,-0.2,"45km ESE of Beatty, Nevada"
2016-11-14T16:20:16.030Z,34.026,-116.9676667,9.37,1.03,"7km E of Yucaipa, CA"
2016-11-14T16:19:26.870Z,38.8008347,-122.7721634,1.02,1.68,"2km NNW of The Geysers, CA"
2016-11-14T16:19:19.470Z,38.7798347,-122.8221664,7.62,1.81,"5km W of The Geysers, CA"
2016-11-14T15:55:40.410Z,34.2105,-118.138,19.84,1.9,"2km NNW of Altadena, CA"
2016-11-14T15:16:05.032Z,58.2119,-154.6402,0,2.1,"84km NNW of Larsen Bay, Alaska"
2016-11-14T15:09:09.610Z,35.2131653,-120.8481674,4.88,1.28,"10km S of Los Osos, CA"
2016-11-14T15:07:38.860Z,36.465,-98.7733,5,2.6,"34km NW of Fairview, Oklahoma"
2016-11-14T14:56:46.708Z,57.0721,-157.6907,7.8,2.5,"112km NE of Chignik Lake, Alaska"
2016-11-14T14:54:49.030Z,34.3995,-117.9108333,9.82,1.75,"12km S of Pearblossum, CA"
2016-11-14T14:48:31.680Z,33.6748333,-116.7236667,14.15,0.32,"7km S of Idyllwild, CA"
2016-11-14T14:47:15.980Z,36.322,-96.6295,5,2.5,"14km W of Cleveland, Oklahoma"
2016-11-14T14:41:50.690Z,36.3177,-96.6367,5,3.5,"15km W of Cleveland, Oklahoma"
2016-11-14T14:29:23.670Z,-6.7967,130.4802,94.65,4,"157km NW of Saumlaki, Indonesia"
2016-11-14T14:19:35.192Z,64.7542,-150.5173,12.3,1.7,"28km SSE of Manley Hot Springs, Alaska"
2016-11-14T14:07:32.300Z,17.9291,-66.9882,15,1.7,"8km SE of La Parguera, Puerto Rico"
2016-11-14T13:53:07.110Z,36.2921,-97.5323,5.94,2.5,"21km W of Perry, Oklahoma"
2016-11-14T13:41:53.876Z,63.0585,-148.9476,7.7,2,"37km S of Cantwell, Alaska"
2016-11-14T13:41:06.580Z,36.529,-98.9427,5,2.6,"25km ENE of Mooreland, Oklahoma"
2016-11-14T13:27:22.390Z,63.2214,-151.4112,8.9,1.4,"120km NNW of Talkeetna, Alaska"
2016-11-14T13:18:56.139Z,61.8033,-150.3183,32.9,1.8,"16km WNW of Willow, Alaska"
2016-11-14T13:17:13.450Z,34.0383333,-117.0998333,8.16,0.89,"5km SE of Mentone, CA"
2016-11-14T13:10:51.410Z,38.8391685,-122.7836685,1.02,1,"5km WNW of Cobb, CA"
2016-11-14T13:04:26.690Z,33.6715,-116.7411667,12.47,0.33,"8km SSW of Idyllwild, CA"
2016-11-14T12:58:53.950Z,33.6686667,-116.7286667,14.26,0.47,"8km S of Idyllwild, CA"
2016-11-14T12:54:06.325Z,61.4645,-140.8046,3.5,1.2,"179km NNE of Cape Yakataga, Alaska"
