List configuration,Seconds,# Data,# Loop,# Data assignments,# Loop assignments,Total
Sorted N=500,0.00035238799999992576,499,500,0,500,1499
Sorted N=1000,0.0004828220000000494,999,1000,0,1000,2999
Sorted N=5000,0.0022554510000001304,4999,5000,0,5000,14999
Sorted N=10000,0.0051463959999997755,9999,10000,0,10000,29999
Descending Sorted N=500,0.14882598100000166,249999,250000,374250,250499,1124748
Descending Sorted N=1000,0.5900732789999985,999999,1000000,1498500,1000999,4499498
Descending Sorted N=5000,14.765647352000002,24999999,25000000,37492500,25004999,112497498
Descending Sorted N=10000,59.576192034,99999999,100000000,149985000,100009999,449994998
Random N=500,0.12560347400000182,235499,235500,186342,235970,893311
Random N=1000,0.5131638539999983,964999,965000,743766,965964,3639729
Random N=5000,14.066796674000017,24669999,24670000,18825501,24674933,92840433
Random N=10000,54.24480324699999,98409999,98410000,75262068,98419840,370501907
