List configuration,Seconds,# Data,# Loop,# Data assignments,# Loop assignments,Total
Sorted N=500,0.004398001000000096,4987,4488,10086,4488,24049
Sorted N=1000,0.009583314999999981,10975,9976,22174,9976,53101
Sorted N=5000,0.05560409499999963,66807,61808,138014,61808,328437
Sorted N=10000,0.1208462439999991,143615,133616,296030,133616,706877
Descending Sorted N=500,0.004367209999998067,4931,4432,9918,4432,23713
Descending Sorted N=1000,0.009762074000001064,10863,9864,21838,9864,52429
Descending Sorted N=5000,0.05464486400000368,64607,59608,131414,59608,315237
Descending Sorted N=10000,0.11983184600001096,139215,129216,282830,129216,680477
Random N=500,0.00492016799998396,5737,5238,12336,5238,28549
Random N=1000,0.01043178099999409,12852,11853,27805,11853,64363
Random N=5000,0.0686792099999991,80339,75340,178610,75340,409629
Random N=10000,0.148397043000017,179721,169722,404348,169722,923513
