List configuration,Seconds,# Data,# Loop,# Data assignments,# Loop assignments,Total
Sorted N=500,0.007294507000000006,4987,4488,10086,4488,24049
Sorted N=1000,0.010141404000000076,10975,9976,22174,9976,53101
Sorted N=5000,0.061693469999999806,66807,61808,138014,61808,328437
Sorted N=10000,0.12718023699999748,143615,133616,296030,133616,706877
Descending Sorted N=500,0.004428365000002543,4931,4432,9918,4432,23713
Descending Sorted N=1000,0.009699209000000764,10863,9864,21838,9864,52429
Descending Sorted N=5000,0.05721464199999815,64607,59608,131414,59608,315237
Descending Sorted N=10000,0.12480760900001542,139215,129216,282830,129216,680477
Random N=500,0.006676118000001452,6012,5513,13161,5513,30199
Random N=1000,0.011352950000002693,12815,11816,27694,11816,64141
Random N=5000,0.0687831299999857,80338,75339,178607,75339,409623
Random N=10000,0.15012562399999752,181965,171966,411080,171966,936977
