List configuration,Seconds,# Data,# Loop,# Data assignments,# Loop assignments,Total
Sorted N=500,0.05207679799999998,124750,125250,1500,126750,378250
Sorted N=1000,0.20565744500000005,499500,500500,3000,503500,1506500
Sorted N=5000,5.229024498,12497500,12502500,15000,12517500,37532500
Sorted N=10000,21.528043245,49995000,50005000,30000,50035000,150065000
Descending Sorted N=500,0.05246639199999947,124750,125250,1500,126750,378250
Descending Sorted N=1000,0.20577761500000236,499500,500500,3000,503500,1506500
Descending Sorted N=5000,5.137774528000001,12497500,12502500,15000,12517500,37532500
Descending Sorted N=10000,21.40303848699999,49995000,50005000,30000,50035000,150065000
Random N=500,0.05124030599998264,124750,125250,1500,126750,378250
Random N=1000,0.20920227499999555,499500,500500,3000,503500,1506500
Random N=5000,5.445236033000015,12497500,12502500,15000,12517500,37532500
Random N=10000,21.16740715100002,49995000,50005000,30000,50035000,150065000
