===Binary Perceptron===
iteration 1: Training Mistakes:134 | Training Accuracy:58.385093 || Testing Mistakes:30 | Testing Accuracy:70.297030
iteration 2: Training Mistakes:121 | Training Accuracy:62.422360 || Testing Mistakes:28 | Testing Accuracy:72.277228
iteration 3: Training Mistakes:127 | Training Accuracy:60.559006 || Testing Mistakes:28 | Testing Accuracy:72.277228
iteration 4: Training Mistakes:128 | Training Accuracy:60.248447 || Testing Mistakes:28 | Testing Accuracy:72.277228
iteration 5: Training Mistakes:128 | Training Accuracy:60.248447 || Testing Mistakes:28 | Testing Accuracy:72.277228
iteration 6: Training Mistakes:128 | Training Accuracy:60.248447 || Testing Mistakes:28 | Testing Accuracy:72.277228
iteration 7: Training Mistakes:128 | Training Accuracy:60.248447 || Testing Mistakes:28 | Testing Accuracy:72.277228
iteration 8: Training Mistakes:128 | Training Accuracy:60.248447 || Testing Mistakes:28 | Testing Accuracy:72.277228
iteration 9: Training Mistakes:128 | Training Accuracy:60.248447 || Testing Mistakes:28 | Testing Accuracy:72.277228
iteration 10: Training Mistakes:128 | Training Accuracy:60.248447 || Testing Mistakes:28 | Testing Accuracy:72.277228
iteration 11: Training Mistakes:128 | Training Accuracy:60.248447 || Testing Mistakes:28 | Testing Accuracy:72.277228
iteration 12: Training Mistakes:128 | Training Accuracy:60.248447 || Testing Mistakes:28 | Testing Accuracy:72.277228
iteration 13: Training Mistakes:128 | Training Accuracy:60.248447 || Testing Mistakes:28 | Testing Accuracy:72.277228
iteration 14: Training Mistakes:128 | Training Accuracy:60.248447 || Testing Mistakes:28 | Testing Accuracy:72.277228
iteration 15: Training Mistakes:128 | Training Accuracy:60.248447 || Testing Mistakes:28 | Testing Accuracy:72.277228
iteration 16: Training Mistakes:128 | Training Accuracy:60.248447 || Testing Mistakes:28 | Testing Accuracy:72.277228
iteration 17: Training Mistakes:128 | Training Accuracy:60.248447 || Testing Mistakes:28 | Testing Accuracy:72.277228
iteration 18: Training Mistakes:128 | Training Accuracy:60.248447 || Testing Mistakes:28 | Testing Accuracy:72.277228
iteration 19: Training Mistakes:128 | Training Accuracy:60.248447 || Testing Mistakes:28 | Testing Accuracy:72.277228
iteration 20: Training Mistakes:128 | Training Accuracy:60.248447 || Testing Mistakes:28 | Testing Accuracy:72.277228
===Running Multi Class Perceptron===
iteration 1: Training Mistakes:2293 | Training Accuracy:50.335716 || Testing Mistakes:19221 | Testing Accuracy:59.564531
iteration 2: Training Mistakes:1867 | Training Accuracy:59.562486 || Testing Mistakes:18446 | Testing Accuracy:61.194909
iteration 3: Training Mistakes:1762 | Training Accuracy:61.836690 || Testing Mistakes:18274 | Testing Accuracy:61.556748
iteration 4: Training Mistakes:1740 | Training Accuracy:62.313190 || Testing Mistakes:18314 | Testing Accuracy:61.472599
iteration 5: Training Mistakes:1744 | Training Accuracy:62.226554 || Testing Mistakes:18362 | Testing Accuracy:61.371621
iteration 6: Training Mistakes:1689 | Training Accuracy:63.417804 || Testing Mistakes:18271 | Testing Accuracy:61.563059
iteration 7: Training Mistakes:1647 | Training Accuracy:64.327485 || Testing Mistakes:18166 | Testing Accuracy:61.783949
iteration 8: Training Mistakes:1661 | Training Accuracy:64.024258 || Testing Mistakes:18197 | Testing Accuracy:61.718734
iteration 9: Training Mistakes:1668 | Training Accuracy:63.872645 || Testing Mistakes:18198 | Testing Accuracy:61.716630
iteration 10: Training Mistakes:1658 | Training Accuracy:64.089235 || Testing Mistakes:18177 | Testing Accuracy:61.760808
iteration 11: Training Mistakes:1626 | Training Accuracy:64.782326 || Testing Mistakes:18271 | Testing Accuracy:61.563059
iteration 12: Training Mistakes:1643 | Training Accuracy:64.414122 || Testing Mistakes:18181 | Testing Accuracy:61.752393
iteration 13: Training Mistakes:1657 | Training Accuracy:64.110895 || Testing Mistakes:18189 | Testing Accuracy:61.735563
iteration 14: Training Mistakes:1659 | Training Accuracy:64.067576 || Testing Mistakes:18266 | Testing Accuracy:61.573577
iteration 15: Training Mistakes:1615 | Training Accuracy:65.020576 || Testing Mistakes:18184 | Testing Accuracy:61.746082
iteration 16: Training Mistakes:1663 | Training Accuracy:63.980940 || Testing Mistakes:18235 | Testing Accuracy:61.638792
iteration 17: Training Mistakes:1631 | Training Accuracy:64.674031 || Testing Mistakes:18190 | Testing Accuracy:61.733460
iteration 18: Training Mistakes:1647 | Training Accuracy:64.327485 || Testing Mistakes:18244 | Testing Accuracy:61.619859
iteration 19: Training Mistakes:1608 | Training Accuracy:65.172190 || Testing Mistakes:18232 | Testing Accuracy:61.645104
iteration 20: Training Mistakes:1635 | Training Accuracy:64.587394 || Testing Mistakes:18154 | Testing Accuracy:61.809193
